Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
01-03-2024,SIEMENS,Largecap,Industrials,Apr-2024,3146.3,3464.54,3146.3,3417.04,10.11,0.0,8.61
01-03-2024,KEI,Largecap,Industrials,Apr-2024,3457.65,4108.26,3428.91,3987.12,18.82,-0.83,15.31
01-03-2024,ZYDUSLIFE,Largecap,Healthcare,Apr-2024,1010.82,1017.48,900.61,940.4,0.66,-10.9,-6.97
01-03-2024,PNB,Largecap,Bank,Apr-2024,120.49,137.25,119.97,135.48,13.91,-0.44,12.44
01-03-2024,UNIONBANK,Largecap,Bank,Apr-2024,145.59,153.79,130.14,145.31,5.63,-10.61,-0.19
01-03-2024,TORNTPOWER,Largecap,Power & Utilities,Apr-2024,1361.26,1588.95,1296.41,1460.61,16.73,-4.76,7.3
01-03-2024,BSE,Largecap,Financials,Apr-2024,845.13,1078.86,836.07,922.04,27.66,-1.07,9.1
01-03-2024,POWERINDIA,Largecap,Industrials,Apr-2024,7028.74,9883.66,6810.03,9572.61,40.62,-3.11,36.19
01-04-2024,BLUESTARCO,Largecap,Consumer Discretionary,May-2024,1487.01,1634.19,1364.16,1562.44,9.9,-8.26,5.07
01-04-2024,EXIDEIND,Largecap,Auto,May-2024,473.55,512.8,431.13,483.91,8.29,-8.96,2.19
01-04-2024,COLPAL,Largecap,FMCG,May-2024,2689.82,2836.89,2528.57,2580.31,5.47,-5.99,-4.07
01-04-2024,GAIL,Largecap,Energy,May-2024,194.18,196.32,174.06,189.81,1.1,-10.36,-2.25
01-04-2024,CANBK,Largecap,Bank,May-2024,117.27,118.97,100.01,110.91,1.45,-14.72,-5.43
01-04-2024,PFC,Largecap,Financials,May-2024,417.79,488.82,375.65,459.09,17.0,-10.09,9.89
01-04-2024,POWERGRID,Largecap,Power & Utilities,May-2024,282.57,306.72,273.26,290.11,8.54,-3.3,2.67
01-04-2024,RECLTD,Largecap,Financials,May-2024,471.25,543.27,442.59,493.99,15.28,-6.08,4.82
